序号,文献标题,摘要（前100字符）,处理时间,model_returned,response_id,latency_s,分类结果,分类理由,软件使用情况,应用领域,应用场景
1,The role of patient specific implants in the oral and maxillofacial region.,"Reconstructing maxillofacial defects is quiet challenging due to the region's complex anatomy, and c",2026-09-10 20:42:55,deepseek-flash,e95932ca-04a7-485d-9fa1-4ab8aa18c08a,0.9,exclude,"摘要末句明确表明本文为综述（""This article reviews the varied aspects...""），属于非原创研究类型，不符合纳入标准。",无,无,无
2,Implementation of 3D Printing and Computer-Aided Design and Manufacturing (CAD/CAM) in Craniofacial Reconstruction.,INTRODUCTION: The need for precision in craniomaxillofacial surgery has necessitated the evolution o,2026-09-10 20:42:55,deepseek-flash,f2ea5a3c-070c-4c9d-ae01-2da6703a3639,0.97,exclude,摘要明确表明这是一篇系统综述（systematic review，遵循PRISMA指南），属于非原创研究类型，不符合纳入标准。,无,无,无
6,Three-dimensional digital applications for implant space planning in orthodontics: A narrative review.,"In the digital dentistry era, new tools, algorithms, data science approaches, and computer applicati",2026-09-10 20:42:55,deepseek-flash,141248a7-4380-427f-a9c9-68ffe66780d3,0.97,exclude,"标题明确标注为""narrative review""，属于综述类文献，不符合纳入标准中""原创研究论文、技术说明、病例报告""的文献类型要求。",无,无,无
4,Cross-center Model Adaptive Tooth segmentation.,Automatic 3-dimensional tooth segmentation on intraoral scans (IOS) plays a pivotal role in computer,2026-09-10 20:42:55,deepseek-flash,6774a881-b0f8-41a5-9e13-c9231c013810,1.03,unsure,该文献属于口腔正畸领域的3D牙齿分割研究，但摘要未明确说明是否使用了非牙科专用3D软件，无法据此排除其可能性，需进入全文复核。,无,无,无
3,Augmented Reality Navigation in Craniomaxillofacial/Head and Neck Surgery.,OBJECTIVE: This study aims to (1) develop an augmented reality (AR) navigation platform for cranioma,2026-09-10 20:42:55,deepseek-flash,24e46cf7-7ae1-4a74-afa9-6c62214e2826,1.03,unsure,"该文献属于口腔颌面外科范畴，涉及3D虚拟手术规划与AR导航，但摘要未明确说明使用了何种非牙科专用3D软件（仅提及AR平台与HoloLens 2），无法判断是否符合""非牙科专用3D软件""这一核心概念，需全文复核。",无,无,无
7,3D Printing Technologies for Removable Dentures Manufacturing: A Review of Potentials and Challenges.,The aim of this review is to investigate the use of 3D printing technologies for removable denture f,2026-09-10 20:42:56,deepseek-flash,867a2dc4-f7cd-427c-aa45-fd77398c7dc4,1.21,exclude,"标题明确标注为""A Review""，摘要也自述为综述（review），属于非原创研究文献类型，不符合纳入标准。",无,无,无
8,Geo-Net: Geometry-Guided Pretraining for Tooth Point Cloud Segmentation.,Accurately delineating individual teeth in 3-dimensional tooth point clouds is an important orthodon,2026-09-10 20:42:56,deepseek-flash,e2636758-f39f-4456-b623-c95ea9a7b0e3,1.26,unsure,该文献属于口腔正畸领域的原创研究，涉及牙齿点云分割的3D数据处理，但摘要未明确提及所使用的具体3D软件名称，无法判断是否使用了非牙科专用3D软件。,无,无,无
5,"An open-source, three-dimensional growth model of the mandible.",The available reference data for the mandible and mandibular growth consists primarily of two-dimens,2026-09-10 20:42:56,deepseek-flash,eb2999ee-dccd-4820-bd55-c0d3454e5ba1,1.31,unsure,该文献属于口腔颌面外科/法医口腔领域，涉及下颌骨3D建模与统计分析，但摘要未明确提及所使用的具体软件是否为非牙科专用3D软件（如3D Slicer、Mimics等），信息不足，需全文复核确认。,无,无,无
13,Convolutional mesh autoencoders for the 3-dimensional identification of FGFR-related craniosynostosis.,Clinical diagnosis of craniofacial anomalies requires expert knowledge. Recent studies have shown th,2026-09-10 20:42:56,deepseek-flash,0a76fc95-7488-41fc-8219-28170de4fb32,0.75,exclude,该文献聚焦于颅缝早闭综合征（Muenke、Crouzon、Apert）的3D面部识别诊断，属于颅面外科/遗传综合征范畴，而非口腔医学临床实践或研究；且摘要未涉及任何口腔医学学科内容。,无,无,无
9,Digital duplication of maxillary complete denture: A dental technique.,"OBJECTIVE: This technique aims to construct a virtual, well-adapted maxillary denture from an existi",2026-09-10 20:42:57,deepseek-flash,2ca845db-cdf0-4643-a3f9-bf7094cda105,1.17,include,该文献为口腔修复学领域的技术说明，明确使用了非牙科专用3D软件3D Slicer进行CBCT数据分割，符合纳入标准。,3D Slicer（图像计算平台软件），用于分割CBCT的DICOM数据以生成STL文件,口腔修复学（全口义齿复制/重衬）,利用CBCT数据数字化复制上颌全口义齿，3D打印制作义齿复制品
11,Virtual surgical planning and augmented reality for fixation of plate during Le Fort I osteotomy.,PURPOSE: Computed tomography (CT) imaging is utilized during virtual surgical planning (VSP) in orth,2026-09-10 20:42:57,deepseek-flash,5f1668ef-2819-4f9f-8462-9d596a5dfd5a,1.13,unsure,该文献属于口腔颌面外科（正颌手术）范畴，涉及虚拟手术规划（VSP）和三维CT重建数据处理，但摘要未明确说明所使用的具体软件名称，无法判断是否使用了非牙科专用3D软件，需进入全文复核。,无,无,无
12,Identifying teeth and tooth fragments from digital 3D models.,Dental anatomy is an essential skill for human identification in forensic odontology. With the adven,2026-09-10 20:42:57,deepseek-flash,a1424af5-10ca-41ca-8e25-6fbcad046f3a,1.11,unsure,该文献属于法医口腔学范畴，涉及3D扫描数字模型，但摘要未明确说明使用了何种3D软件，无法判断是否使用了非牙科专用3D软件，需进入全文复核。,无,无,无
15,Effect of the presence of orthodontic brackets on intraoral scans.,OBJECTIVES: The need for intraoral scanning in the presence of brackets has increased for monitoring,2026-09-10 20:42:57,deepseek-flash,bb715e10-15d1-4278-8fc9-fa14165d9a24,0.99,unsure,该文献属于口腔正畸领域，涉及口内扫描的3D表面分析，但摘要未明确说明使用了何种软件进行叠加和3D分析，无法判断是否使用了非牙科专用3D软件。,无,无,无
16,3-dimensional analysis of hard- and soft-tissue symmetry in a Chinese population.,BACKGROUND: Facial symmetry severely affects appearance and function. Large numbers of patients seek,2026-09-10 20:42:57,deepseek-flash,83d293b8-ae70-4c0f-ad79-23a8e0dae5e1,0.99,unsure,该文献属于口腔正畸领域，涉及3D数字分析（CBCT与3dMD镜像配准），但摘要未明确提及所使用的具体3D软件名称，无法判断是否使用了非牙科专用3D软件，需进入全文复核。,无,无,无
