序号,文献标题,摘要（前100字符）,处理时间,model_returned,response_id,latency_s,分类结果,分类理由,软件使用情况,应用领域,应用场景
2,Implementation of 3D Printing and Computer-Aided Design and Manufacturing (CAD/CAM) in Craniofacial Reconstruction.,INTRODUCTION: The need for precision in craniomaxillofacial surgery has necessitated the evolution o,2026-09-10 20:30:12,deepseek-flash,03b8dd1b-12eb-47fd-9e43-67af3a9ad608,0.68,exclude,摘要明确表明这是一篇系统综述（systematic review following PRISMA guidelines），属于非原创研究类型，不符合纳入标准。,无,无,无
1,The role of patient specific implants in the oral and maxillofacial region.,"Reconstructing maxillofacial defects is quiet challenging due to the region's complex anatomy, and c",2026-09-10 20:30:12,deepseek-flash,669fb4e0-acb6-4e8a-96d5-aa406ab1fa03,0.99,exclude,"摘要末句明确表明本文为综述（""This article reviews the varied aspects...""），属于非原创研究类型，不符合纳入标准。",无,无,无
7,3D Printing Technologies for Removable Dentures Manufacturing: A Review of Potentials and Challenges.,The aim of this review is to investigate the use of 3D printing technologies for removable denture f,2026-09-10 20:30:12,deepseek-flash,1831f635-80ae-40d6-a7a2-a70dea573cd4,1.11,exclude,"标题明确标注为""Review""，摘要也自述为综述（The aim of this review is to investigate...），属于非原创研究类型，不符合纳入标准。",无,无,无
8,Geo-Net: Geometry-Guided Pretraining for Tooth Point Cloud Segmentation.,Accurately delineating individual teeth in 3-dimensional tooth point clouds is an important orthodon,2026-09-10 20:30:12,deepseek-flash,a4dbbdcb-b62e-479f-bae6-7795a4f8e7a5,1.17,unsure,该文献属于口腔正畸领域的原创研究，涉及3D牙齿点云分割，但摘要未明确说明是否使用了非牙科专用3D软件，无法据此排除，需进入全文复核。,无,无,无
5,"An open-source, three-dimensional growth model of the mandible.",The available reference data for the mandible and mandibular growth consists primarily of two-dimens,2026-09-10 20:30:12,deepseek-flash,4c25364d-4063-49c7-84e0-6a71ecc05cc1,1.21,unsure,该文献属于口腔颌面领域（下颌骨生长模型），但摘要未明确提及使用了何种3D软件，无法判断是否使用了非牙科专用3D软件，故需进入全文复核。,无,无,无
3,Augmented Reality Navigation in Craniomaxillofacial/Head and Neck Surgery.,OBJECTIVE: This study aims to (1) develop an augmented reality (AR) navigation platform for cranioma,2026-09-10 20:30:12,deepseek-flash,78668692-73e8-4b31-83c9-8ffbd00e91a9,1.25,unsure,"该文献属于口腔颌面外科范畴，涉及3D虚拟手术规划与AR导航，但摘要未明确说明使用了何种非牙科专用3D软件（仅提及HoloLens 2硬件及Xironetic平台），无法判断是否符合""非牙科专用3D软件""这一核心概念，需全文复核。",无,无,无
4,Cross-center Model Adaptive Tooth segmentation.,Automatic 3-dimensional tooth segmentation on intraoral scans (IOS) plays a pivotal role in computer,2026-09-10 20:30:13,deepseek-flash,45f505cb-6f0d-4b7d-a59a-e2f499e79242,1.5,unsure,该文献属于口腔正畸领域的3D牙齿分割研究，但摘要未明确说明是否使用了非牙科专用3D软件，无法据此排除其可能性，需进入全文复核。,无,无,无
6,Three-dimensional digital applications for implant space planning in orthodontics: A narrative review.,"In the digital dentistry era, new tools, algorithms, data science approaches, and computer applicati",2026-09-10 20:30:13,deepseek-flash,0da6f0f7-1f06-4750-8465-19a0630b164d,1.83,exclude,"标题明确标注为""narrative review""，属于综述类文献，不符合纳入标准中""原创研究论文、技术说明、病例报告""的文献类型要求。",无,无,无
11,Virtual surgical planning and augmented reality for fixation of plate during Le Fort I osteotomy.,PURPOSE: Computed tomography (CT) imaging is utilized during virtual surgical planning (VSP) in orth,2026-09-10 20:30:13,deepseek-flash,97341982-d408-4d23-ad14-12ee92e703aa,1.03,unsure,该文献属于口腔颌面外科（正颌手术）范畴，涉及虚拟手术规划（VSP）和三维重建CT数据分析，但摘要未明确说明所使用的具体软件名称，无法判断是否使用了非牙科专用3D软件。,无,无,无
9,Digital duplication of maxillary complete denture: A dental technique.,"OBJECTIVE: This technique aims to construct a virtual, well-adapted maxillary denture from an existi",2026-09-10 20:30:13,deepseek-flash,7f34246b-af99-4eb5-979d-650ed79a9a38,1.5,include,该文献为口腔修复学领域的技术说明，明确使用了非牙科专用3D软件3D Slicer进行CBCT数据分割，符合纳入标准。,3D Slicer（图像计算平台软件），用于对旧义齿CBCT的DICOM文件进行分割，生成STL文件,口腔修复学（全口义齿复制/重衬）,上颌全口义齿的数字化复制，通过CBCT扫描旧义齿、3D Slicer分割、3D打印制作数字化义齿复制品
